"Payment transaction is created", "Создана транзакция на оплату"
"Error while payment transaction creation", "Во время оплаты произошла ошибка"
"The order payment is failed", "Произошла ошибка во время оплаты"
"The order payment operation is failed", "Произошла ошибка во время выполнения операции"
"The order is paid successfully", "Заказ успешно оплачен"
"Order paid with: %s", "Заказ оплачен: %s"
"Order payment failed with: %s", "Произошла ошибка при оплате заказа: %s"
"Cannot get payment amount", "Не удалос получить сумму оплаты"
"Title", "Название"
"Enabled", "Включено"
"Order payment is success status", "Статус заказа при успешной оплате"
"Order payment is failed status", "Статус заказа при неудачной оплате"
"Order description", "Описание заказа"
"Log Enabled", "Включить логирование"
"Is dev mode", "Работа в режиме разработчика"
"New order status", "Статус нового заказа"
"Sort Order", "Позиция"
"The transaction is refund successfully", "Транзакция отменена"
"Selected grand total cannot be more then %s", "Сумма списания не может быть более чем %s"
"Unhold funds", "Вернуть средства покупателю"
"Refunds to charge", "Списание средств"
"Charge", "Списать"
"Payment already processed", "Оплата заказа уже обработана"